runtime,rating,votes,popularity,budget,revenue,hit
105,6.8,96,55.2301,28000000,0,0
113,7.056,1463,55.5723,100000000,0,0
113,6.516,1320,54.8671,90000000,242431024,1
162,7.377,3401,49.7325,175000000,209377100,1
94,6.62,100,46.7311,20000000,11926928,0
124,5.983,4838,47.7984,70000000,277448382,1
96,8.029,2597,51.153,100000000,24619953,0
149,8.233,31680,48.3973,300000000,2052415039,1
138,7.5,4253,42.6397,90000000,369425281,1
212,7.0,232,41.4244,22500000,170000000,1
224,6.0,34,40.9091,65000000,3500000,0
88,6.739,257,42.2695,64000000,163197450,1
220,7.8,1829,38.5108,13000000,122700000,1
133,6.759,1355,38.8236,110000000,68615641,0
152,8.528,35421,35.973,185000000,1004558444,1
167,8.13,7739,36.1908,190000000,714844358,1
192,7.594,13902,40.2211,350000000,2353096253,1
152,7.9,29350,37.1368,125000000,976475550,1
